Season_Yr,Visitor_Team,Home_Team,Visitor_Team_PTS,Home_Team_PTS
2014,Liverpool, Manchester Utd,3,0
2014,Arsenal, Tottenham,1,0
2014,Arsenal, Chelsea,0,6
2014,West Bromwich, Hull City,0,2
2014,Swansea City, Everton,2,3
2014,Fulham, Manchester City,0,5
2014,Crystal Palace, Newcastle Utd,0,1
2014,Sunderland, Norwich City,0,2
2014,Liverpool, Cardiff City,6,3
2014,Manchester Utd, West Ham Utd,2,0
2014,Southampton, Tottenham,2,3
2014,Stoke City, Aston Villa,4,1
2014,Everton, Newcastle Utd,3,0
2014,Swansea City, Arsenal,2,2
2014,Manchester City, Manchester Utd,3,0
2014,Hull City, West Ham Utd,1,2
2014,Sunderland, Liverpool,1,2
2014,Aston Villa, Manchester Utd,1,4
2014,Cardiff City, West Bromwich,3,3
2014,Norwich City, Swansea City,0,3
2014,Hull City, Stoke City,0,1
2014,Newcastle Utd, Southampton,0,4
2014,Chelsea, Crystal Palace,0,1
2014,Manchester City, Arsenal,1,1
2014,Everton, Fulham,3,1
2014,Tottenham, Liverpool,0,4
2014,West Ham Utd, Sunderland,2,1
2014,Southampton, Manchester City,1,4
2014,Swansea City, Hull City,0,1
2014,Manchester Utd, Newcastle Utd,4,0
2014,West Bromwich, Norwich City,1,0
2014,Fulham, Aston Villa,2,1
2014,Crystal Palace, Cardiff City,3,0
2014,Stoke City, Chelsea,0,3
2014,Arsenal, Everton,0,3
2014,Liverpool, West Ham Utd,2,1
2014,Sunderland, Tottenham,1,5
2014,Aston Villa, Crystal Palace,0,1
2014,Tottenham, West Bromwich,3,3
2014,Everton, Sunderland,1,0
2014,Newcastle Utd, Stoke City,0,1
2014,Cardiff City, Southampton,1,0
2014,Norwich City, Fulham,0,1
2014,Manchester City, Liverpool,2,3
2014,Chelsea, Swansea City,1,0
2014,West Ham Utd, Arsenal,1,3
2014,Sunderland, Manchester City,2,2
2014,Crystal Palace, Everton,3,2
2014,Fulham, Tottenham,1,3
2014,Stoke City, Cardiff City,1,1
2014,Swansea City, Newcastle Utd,2,1
2014,Crystal Palace, West Ham Utd,1,0
2014,Southampton, Aston Villa,0,0
2014,Sunderland, Chelsea,2,1
2014,Liverpool, Norwich City,3,2
2014,Arsenal, Hull City,3,0
2014,Manchester Utd, Everton,0,2
2014,West Bromwich, Manchester City,1,3
2014,Everton, Southampton,0,2
2014,Hull City, Fulham,2,2
2014,West Ham Utd, West Bromwich,0,1
2014,Aston Villa, Swansea City,1,4
2014,Tottenham, Stoke City,1,0
2014,Norwich City, Manchester Utd,0,4
2014,Cardiff City, Sunderland,0,4
2014,Chelsea, Liverpool,2,0
2014,Manchester City, Crystal Palace,2,0
2014,Newcastle Utd, Arsenal,0,3
2014,Tottenham, West Ham Utd,0,2
2014,Hull City, Aston Villa,1,3
2014,Cardiff City, Newcastle Utd,0,3
2014,Fulham, Stoke City,1,4
2014,Southampton, Swansea City,1,0
2014,Sunderland, Manchester Utd,1,0
2014,Manchester City, Everton,3,2
2014,West Bromwich, Arsenal,0,1
2014,Norwich City, Chelsea,0,0
2014,Liverpool, Crystal Palace,3,3
2014,Hull City, Manchester Utd,1,3
2014,West Bromwich, Sunderland,0,2
2014,Aston Villa, Manchester City,0,4
2014,Crystal Palace, Fulham,2,2
2014,Aston Villa, Tottenham,0,3
2014,Swansea City, Sunderland,3,1
2014,Manchester Utd, Southampton,1,1
2014,Arsenal, Norwich City,2,0
2014,West Ham Utd, Manchester City,0,2
2014,Everton, Hull City,2,0
2014,Chelsea, Cardiff City,2,1
2014,Stoke City, West Bromwich,2,1
2014,Newcastle Utd, Liverpool,1,2
2013,Toulouse, Montpellier,1,1
2013,Bordeaux, Evian TG,3,2
2013,Brest, Nancy,0,1
2013,Ajaccio, Nice,1,0
2013,Lorient, Paris SG,2,2
2013,Lyon, Rennes,1,0
2013,Lille, Saint-Etienne,2,1
2013,Bastia, Sochaux,3,2
2013,Valenciennes, Troyes,1,0
2013,Marseille, Reims,1,0
2013,Nancy, Lille,1,1
2013,Reims, Bastia,1,2
2013,Nice, Valenciennes,0,0
2013,Saint-Etienne, Toulouse,1,2
2013,Troyes, Lyon,1,4
2013,Montpellier, Lorient,1,2
2013,Evian TG, Brest,0,1
2013,Sochaux, Marseille,0,2
2013,Paris SG, Ajaccio,0,0
2013,Rennes, Bordeaux,0,1
2013,Lyon, Evian TG,1,1
2013,Bastia, Rennes,2,3
2013,Toulouse, Nancy,1,0
2013,Ajaccio, Valenciennes,0,3
2013,Lorient, Troyes,2,2
2013,Lille, Nice,2,2
2013,Sochaux, Reims,0,1
2013,Bordeaux, Paris SG,0,0
2013,Brest, Saint-Etienne,0,4
2013,Marseille, Montpellier,1,0
2013,Nancy, Lorient,0,3
2013,Reims, Toulouse,1,1
2013,Montpellier, Sochaux,3,1
2013,Valenciennes, Lyon,2,3
2013,Troyes, Brest,1,2
2013,Saint-Etienne, Bastia,3,0
2013,Evian TG, Ajaccio,0,2
2013,Nice, Bordeaux,1,1
2013,Paris SG, Lille,2,1
2013,Rennes, Marseille,1,3
2013,Toulouse, Paris SG,0,2
2013,Montpellier, Reims,1,3
2013,Bordeaux, Valenciennes,0,0
2013,Lille, Troyes,1,1
2013,Sochaux, Saint-Etienne,1,0
2013,Brest, Nice,2,4
2013,Bastia, Evian TG,0,3
2013,Marseille, Nancy,1,0
2013,Ajaccio, Lyon,0,2
2013,Lorient, Rennes,2,1
2013,Saint-Etienne, Montpellier,1,1
2013,Rennes, Toulouse,2,2
2013,Nancy, Reims,0,2
2013,Nice, Lorient,1,1
2013,Valenciennes, Brest,1,2
2013,Paris SG, Bastia,4,0
2013,Troyes, Sochaux,1,3
2013,Evian TG, Marseille,0,1
2013,Ajaccio, Bordeaux,2,2
2013,Lyon, Lille,1,1
2013,Lille, Rennes,0,2
2013,Toulouse, Troyes,2,0
2013,Brest, Ajaccio,0,1
2013,Lorient, Evian TG,1,1
2013,Montpellier, Nancy,2,0
2013,Bastia, Nice,2,2
2013,Sochaux, Paris SG,0,2
2013,Marseille, Valenciennes,1,4
2013,Reims, Saint-Etienne,0,0
2013,Bordeaux, Lyon,2,0
2013,Nancy, Saint-Etienne,0,4
2013,Ajaccio, Lille,0,2
2013,Evian TG, Montpellier,3,2
2013,Nice, Reims,1,3
2013,Rennes, Sochaux,1,0
2013,Valenciennes, Toulouse,2,2
2013,Troyes, Bastia,2,3
2013,Paris SG, Marseille,2,2
2013,Bordeaux, Brest,1,1
2013,Lyon, Lorient,1,1
2013,Lille, Bordeaux,1,1
2013,Toulouse, Evian TG,4,0
2013,Sochaux, Nancy,1,1
2013,Saint-Etienne, Nice,1,1
2013,Reims, Paris SG,0,1
2013,Montpellier, Rennes,1,2
2013,Lorient, Valenciennes,1,6
2013,Brest, Lyon,0,1
2013,Marseille, Troyes,0,1
2013,Bastia, Ajaccio,0,0
2013,Rennes, Saint-Etienne,0,2
2013,Paris SG, Nancy,1,0
2013,Brest, Toulouse,1,3
2013,Troyes, Reims,1,1
2013,Valenciennes, Lille,1,2
2013,Nice, Montpellier,1,3
2013,Bordeaux, Bastia,1,3
2013,Ajaccio, Lorient,4,4
2013,Lorient, Brest,0,2
2013,Lille, Evian TG,2,0
2013,Sochaux, Valenciennes,1,3
2013,Montpellier, Troyes,1,1
2013,Reims, Rennes,0,1
2013,Saint-Etienne, Paris SG,2,1
2013,Nancy, Nice,1,2
2013,Toulouse, Bordeaux,0,1
2013,Marseille, Ajaccio,2,0
2013,Bastia, Lyon,2,5
2013,Evian TG, Sochaux,1,2
2013,Rennes, Nancy,3,1
2013,Evian TG, Reims,2,1
2013,Ajaccio, Toulouse,4,2
2013,Valenciennes, Bastia,3,2
2013,Brest, Lille,0,1
2013,Troyes, Saint-Etienne,0,2
2013,Lyon, Sochaux,1,1
2013,Paris SG, Montpellier,1,1
2013,Bordeaux, Lorient,4,0
2013,Nice, Marseille,2,2
2013,Lille, Lorient,0,2
2013,Sochaux, Ajaccio,1,0
2013,Bastia, Brest,0,3
2013,Saint-Etienne, Evian TG,2,2
2013,Montpellier, Valenciennes,1,1
2013,Nancy, Troyes,3,3
2013,Rennes, Paris SG,2,1
2013,Reims, Lyon,0,3
2013,Marseille, Bordeaux,0,1
2013,Toulouse, Nice,0,1
2013,Valenciennes, Saint-Etienne,0,1
2013,Brest, Reims,0,0
2013,Evian TG, Rennes,1,0
2013,Nice, Sochaux,1,0
2013,Troyes, Paris SG,0,4
2013,Ajaccio, Nancy,1,1
2013,Lorient, Bastia,1,2
2013,Lyon, Toulouse,0,3
2013,Lille, Marseille,0,1
2013,Bordeaux, Montpellier,0,1
2013,Lyon, Marseille,4,1
2013,Saint-Etienne, Ajaccio,0,0
2013,Montpellier, Lyon,0,1
2013,Paris SG, Nice,1,2
2013,Reims, Valenciennes,0,1
2013,Nancy, Evian TG,1,1
2013,Sochaux, Bordeaux,2,2
2013,Bastia, Lille,0,0
2013,Toulouse, Lorient,0,1
2013,Rennes, Troyes,3,2
2013,Marseille, Brest,2,1
2013,Bastia, Toulouse,0,0
2013,Evian TG, Paris SG,0,4
2013,Nice, Troyes,1,1
2013,Lille, Sochaux,1,1
2013,Brest, Rennes,2,2
2013,Valenciennes, Nancy,1,1
2013,Ajaccio, Montpellier,0,3
2013,Lyon, Saint-Etienne,1,0
2013,Lorient, Marseille,3,0
2013,Bordeaux, Reims,0,0
2013,Toulouse, Lille,0,2
2013,Rennes, Nice,0,1
2013,Paris SG, Valenciennes,4,0
2013,Sochaux, Lorient,0,2
2013,Montpellier, Brest,2,1
2013,Marseille, Bastia,2,1
2013,Reims, Ajaccio,0,2
2013,Nancy, Lyon,1,1
2013,Troyes, Evian TG,0,2
2013,Saint-Etienne, Bordeaux,0,0
2013,Valenciennes, Rennes,0,2
2013,Brest, Sochaux,2,1
2013,Marseille, Toulouse,1,0
2013,Evian TG, Nice,2,3
2013,Bastia, Montpellier,0,4
2013,Lille, Reims,1,1
2013,Ajaccio, Troyes,2,3
2013,Lorient, Saint-Etienne,2,0
2013,Bordeaux, Nancy,1,1
2013,Lyon, Paris SG,0,1
2013,Paris SG, Brest,3,0
2013,Rennes, Ajaccio,4,2
2013,Nice, Lyon,0,3
2013,Reims, Lorient,2,2
2013,Montpellier, Lille,1,4
2013,Nancy, Bastia,2,4
2013,Troyes, Bordeaux,0,0
2013,Sochaux, Toulouse,0,2
2013,Saint-Etienne, Marseille,0,1
2013,Evian TG, Valenciennes,1,2
2013,Toulouse, Saint-Etienne,2,2
2013,Ajaccio, Paris SG,0,0
2013,Brest, Evian TG,2,0
2013,Lyon, Troyes,2,1
2013,Bordeaux, Rennes,2,0
2013,Lille, Nancy,2,2
2013,Lorient, Montpellier,0,2
2013,Bastia, Reims,2,1
2013,Valenciennes, Nice,0,5
2013,Marseille, Sochaux,1,3
2013,Evian TG, Lyon,0,0
2013,Saint-Etienne, Brest,1,0
2013,Valenciennes, Ajaccio,1,1
2013,Nancy, Toulouse,1,2
2013,Reims, Sochaux,0,1
2013,Montpellier, Marseille,2,3
2013,Troyes, Lorient,2,3
2013,Nice, Lille,2,0
2013,Rennes, Bastia,2,0
2013,Paris SG, Bordeaux,1,0
2013,Lyon, Valenciennes,2,0
2013,Toulouse, Reims,1,1
2013,Sochaux, Montpellier,0,2
2013,Brest, Troyes,1,2
2013,Marseille, Rennes,2,2
2013,Ajaccio, Evian TG,1,1
2013,Lorient, Nancy,1,2
2013,Bastia, Saint-Etienne,0,3
2013,Bordeaux, Nice,1,0
2013,Lille, Paris SG,0,1
2013,Paris SG, Toulouse,4,0
2013,Nice, Brest,2,0
2013,Saint-Etienne, Sochaux,2,1
2013,Troyes, Lille,1,1
2013,Valenciennes, Bordeaux,0,2
2013,Evian TG, Bastia,0,0
2013,Rennes, Lorient,2,2
2013,Nancy, Marseille,1,0
2013,Reims, Montpellier,1,3
2013,Lyon, Ajaccio,1,3
2013,Bastia, Paris SG,1,3
2013,Montpellier, Saint-Etienne,1,4
2013,Brest, Valenciennes,1,2
2013,Sochaux, Troyes,0,0
2013,Reims, Nancy,2,1
2013,Bordeaux, Ajaccio,0,1
2013,Lorient, Nice,1,1
2013,Lille, Lyon,3,1
2013,Toulouse, Rennes,0,2
2013,Marseille, Evian TG,1,1
2013,Rennes, Lille,0,2
2013,Troyes, Toulouse,2,2
2013,Nancy, Montpellier,0,1
2013,Evian TG, Lorient,1,2
2013,Ajaccio, Brest,1,1
2013,Nice, Bastia,1,0
2013,Valenciennes, Marseille,0,1
2013,Saint-Etienne, Reims,1,1
2013,Paris SG, Sochaux,2,3
2013,Lyon, Bordeaux,4,0
2013,Reims, Nice,0,2
2013,Bastia, Troyes,0,0
2013,Toulouse, Valenciennes,0,0
2013,Sochaux, Rennes,2,2
2013,Montpellier, Evian TG,1,0
2013,Lille, Ajaccio,3,1
2013,Saint-Etienne, Nancy,3,0
2013,Lorient, Lyon,1,3
2013,Marseille, Paris SG,0,2
2013,Brest, Bordeaux,2,0
2013,Rennes, Montpellier,0,2
2013,Nancy, Sochaux,2,1
2013,Ajaccio, Bastia,0,1
2013,Evian TG, Toulouse,0,0
2013,Nice, Saint-Etienne,0,4
2013,Paris SG, Reims,0,1
2013,Valenciennes, Lorient,1,1
2013,Bordeaux, Lille,1,2
2013,Lyon, Brest,1,1
2013,Troyes, Marseille,1,2
2013,Saint-Etienne, Rennes,2,2
2013,Nancy, Paris SG,1,2
2013,Lille, Valenciennes,3,1
2013,Reims, Troyes,2,4
2013,Toulouse, Brest,1,0
2013,Sochaux, Evian TG,1,5
2013,Lorient, Ajaccio,0,1
2013,Marseille, Lyon,0,0
2013,Bastia, Bordeaux,0,1
2013,Montpellier, Nice,0,2
2013,Ajaccio, Marseille,0,0
2013,Valenciennes, Sochaux,1,1
2013,Troyes, Montpellier,1,1
2013,Rennes, Reims,0,1
2013,Brest, Lorient,0,4
2013,Evian TG, Lille,2,1
2013,Lyon, Bastia,1,4
2013,Paris SG, Saint-Etienne,2,2
2013,Bordeaux, Toulouse,0,0
2013,Nice, Nancy,0,1
2013,Montpellier, Paris SG,0,1
2013,Reims, Evian TG,2,2
2013,Toulouse, Ajaccio,3,2
2013,Lorient, Bordeaux,1,1
2013,Bastia, Valenciennes,4,3
2013,Saint-Etienne, Troyes,2,2
2013,Nancy, Rennes,2,0
2013,Sochaux, Lyon,2,1
2013,Lille, Brest,2,1
2013,Marseille, Nice,1,0
2013,Bordeaux, Marseille,0,1
2013,Paris SG, Rennes,2,0
2013,Ajaccio, Sochaux,0,0
2013,Nice, Toulouse,4,3
2013,Valenciennes, Montpellier,1,3
2013,Brest, Bastia,0,4
2013,Troyes, Nancy,0,1
2013,Lyon, Reims,0,1
2013,Evian TG, Saint-Etienne,0,1
2013,Lorient, Lille,0,5
2013,Saint-Etienne, Valenciennes,0,0
2013,Nancy, Ajaccio,1,1
2013,Paris SG, Troyes,1,0
2013,Bastia, Lorient,1,4
2013,Rennes, Evian TG,2,4
2013,Reims, Brest,2,0
2013,Montpellier, Bordeaux,2,4
2013,Toulouse, Lyon,1,3
2013,Sochaux, Nice,0,3
2013,Marseille, Lille,0,0
2013,Lyon, Montpellier,2,1
2013,Brest, Marseille,0,1
2013,Evian TG, Nancy,1,3
2013,Lorient, Toulouse,1,0
2013,Bordeaux, Sochaux,2,2
2013,Lille, Bastia,2,1
2013,Nice, Paris SG,0,3
2013,Valenciennes, Reims,1,0
2013,Troyes, Rennes,2,1
2013,Ajaccio, Saint-Etienne,2,4
2013,Sochaux, Lille,3,3
2013,Toulouse, Bastia,0,0
2013,Nancy, Valenciennes,0,0
2013,Marseille, Lorient,1,0
2013,Reims, Bordeaux,0,0
2013,Rennes, Brest,2,0
2013,Montpellier, Ajaccio,1,2
2013,Saint-Etienne, Lyon,1,1
2013,Troyes, Nice,1,3
2013,Paris SG, Evian TG,1,0
2013,Bordeaux, Saint-Etienne,0,0
2013,Evian TG, Troyes,0,1
2013,Lille, Toulouse,2,4
2013,Lorient, Sochaux,0,1
2013,Ajaccio, Reims,1,1
2013,Brest, Montpellier,1,2
2013,Bastia, Marseille,1,2
2013,Valenciennes, Paris SG,1,1
2013,Lyon, Nancy,3,0
2013,Nice, Rennes,3,0
2013,Reims, Lille,0,3
2013,Toulouse, Marseille,1,2
2013,Troyes, Ajaccio,1,0
2013,Montpellier, Bastia,1,3
2013,Nancy, Bordeaux,2,3
2013,Sochaux, Brest,2,0
2013,Rennes, Valenciennes,1,4
2013,Nice, Evian TG,0,4
2013,Paris SG, Lyon,1,0
2013,Saint-Etienne, Lorient,1,3
2013,Marseille, Saint-Etienne,0,2
2013,Toulouse, Sochaux,2,1
2013,Ajaccio, Rennes,1,1
2013,Lorient, Reims,0,1
2013,Bastia, Nancy,2,1
2013,Lille, Montpellier,0,0
2013,Valenciennes, Evian TG,0,2
2013,Brest, Paris SG,1,3
2013,Bordeaux, Troyes,0,1
2013,Lyon, Nice,1,1
2013,Sochaux, Bastia,0,0
2013,Montpellier, Toulouse,0,2
2013,Reims, Marseille,0,0
2013,Rennes, Lyon,0,2
2013,Paris SG, Lorient,3,1
2013,Saint-Etienne, Lille,1,1
2013,Evian TG, Bordeaux,1,2
2013,Nice, Ajaccio,2,0
2013,Troyes, Valenciennes,1,2
2013,Nancy, Brest,2,1
2014,Paris SG, Montpellier,1,1
2014,Reims, Rennes,1,2
2014,Toulouse, Valenciennes,0,3
2014,Bastia, Nantes,0,0
2014,Nice, Lyon,0,4
2014,Lorient, Lille,0,1
2014,Sochaux, Evian TG,1,1
2014,Monaco, Bordeaux,2,0
2014,Saint-Etienne, Ajaccio,1,0
2014,Marseille, Guingamp,3,1
2014,Lyon, Sochaux,3,1
2014,Evian TG, Marseille,0,2
2014,Valenciennes, Bastia,0,2
2014,Rennes, Nice,1,2
2014,Guingamp, Saint-Etienne,0,1
2014,Bordeaux, Toulouse,1,1
2014,Lille, Reims,1,2
2014,Montpellier, Monaco,1,4
2014,Nantes, Lorient,1,2
2014,Ajaccio, Paris SG,1,1
2014,Toulouse, Monaco,0,0
2014,Marseille, Valenciennes,1,0
2014,Lorient, Guingamp,0,2
2014,Bastia, Bordeaux,0,1
2014,Rennes, Evian TG,2,1
2014,Reims, Lyon,1,0
2014,Sochaux, Montpellier,1,2
2014,Saint-Etienne, Lille,0,1
2014,Nice, Ajaccio,0,0
2014,Paris SG, Nantes,2,1
2014,Lyon, Evian TG,1,2
2014,Guingamp, Paris SG,0,2
2014,Toulouse, Bastia,1,2
2014,Valenciennes, Lorient,0,1
2014,Nantes, Reims,0,0
2014,Ajaccio, Sochaux,0,0
2014,Lille, Rennes,0,0
2014,Bordeaux, Saint-Etienne,1,2
2014,Montpellier, Nice,2,2
2014,Monaco, Marseille,2,1
2014,Paris SG, Bordeaux,2,0
2014,Marseille, Toulouse,1,1
2014,Saint-Etienne, Valenciennes,3,1
2014,Sochaux, Nantes,0,1
2014,Reims, Montpellier,0,0
2014,Bastia, Guingamp,1,1
2014,Evian TG, Ajaccio,3,2
2014,Lorient, Monaco,0,1
2014,Nice, Lille,2,0
2014,Rennes, Lyon,0,0
2014,Toulouse, Saint-Etienne,2,1
2014,Marseille, Bastia,0,0
2014,Montpellier, Evian TG,2,2
2014,Lille, Sochaux,2,0
2014,Ajaccio, Rennes,0,2
2014,Guingamp, Reims,1,1
2014,Bordeaux, Lorient,3,3
2014,Valenciennes, Nice,0,4
2014,Nantes, Lyon,1,3
2014,Monaco, Paris SG,1,1
2014,Evian TG, Lille,0,3
2014,Saint-Etienne, Marseille,1,2
2014,Reims, Bordeaux,0,0
2014,Paris SG, Valenciennes,1,0
2014,Sochaux, Guingamp,1,5
2014,Lyon, Ajaccio,1,2
2014,Lorient, Toulouse,0,1
2014,Nice, Nantes,0,2
2014,Bastia, Monaco,0,3
2014,Rennes, Montpellier,0,0
2014,Marseille, Lorient,2,0
2014,Toulouse, Paris SG,0,2
2014,Guingamp, Nice,0,1
2014,Lille, Lyon,0,0
2014,Bordeaux, Evian TG,1,1
2014,Valenciennes, Sochaux,0,2
2014,Bastia, Saint-Etienne,2,2
2014,Nantes, Rennes,3,1
2014,Montpellier, Ajaccio,1,1
2014,Monaco, Reims,1,1
2014,Lorient, Bastia,1,4
2014,Saint-Etienne, Monaco,1,2
2014,Rennes, Guingamp,0,2
2014,Ajaccio, Lille,0,3
2014,Evian TG, Nantes,0,3
2014,Nice, Toulouse,0,1
2014,Reims, Valenciennes,1,1
2014,Lyon, Montpellier,1,5
2014,Sochaux, Bordeaux,1,4
2014,Paris SG, Marseille,2,1
2014,Marseille, Nice,0,1
2014,Toulouse, Reims,2,1
2014,Bastia, Paris SG,0,4
2014,Lille, Montpellier,1,0
2014,Guingamp, Evian TG,2,1
2014,Nantes, Ajaccio,1,0
2014,Valenciennes, Rennes,2,2
2014,Monaco, Sochaux,2,2
2014,Lorient, Saint-Etienne,2,3
2014,Bordeaux, Lyon,1,1
2014,Lille, Nantes,1,0
2014,Reims, Marseille,3,2
2014,Nice, Bastia,0,1
2014,Sochaux, Lorient,1,2
2014,Rennes, Toulouse,5,0
2014,Evian TG, Valenciennes,1,0
2014,Ajaccio, Guingamp,1,2
2014,Montpellier, Bordeaux,0,2
2014,Lyon, Monaco,1,2
2014,Paris SG, Saint-Etienne,2,2
2014,Lorient, Paris SG,0,4
2014,Marseille, Rennes,1,1
2014,Guingamp, Lyon,0,2
2014,Saint-Etienne, Sochaux,0,0
2014,Bastia, Reims,2,4
2014,Toulouse, Evian TG,1,2
2014,Valenciennes, Ajaccio,3,1
2014,Bordeaux, Nice,2,1
2014,Nantes, Montpellier,1,1
2014,Monaco, Lille,0,2
2014,Evian TG, Monaco,1,1
2014,Nice, Paris SG,1,3
2014,Lille, Guingamp,0,0
2014,Rennes, Bastia,0,1
2014,Reims, Lorient,0,0
2014,Ajaccio, Toulouse,1,1
2014,Montpellier, Valenciennes,1,1
2014,Nantes, Bordeaux,3,0
2014,Sochaux, Marseille,1,2
2014,Lyon, Saint-Etienne,2,1
2014,Marseille, Ajaccio,3,1
2014,Paris SG, Reims,3,0
2014,Guingamp, Montpellier,1,1
2014,Valenciennes, Lyon,1,1
2014,Lorient, Evian TG,4,0
2014,Bastia, Sochaux,1,1
2014,Bordeaux, Rennes,1,1
2014,Toulouse, Lille,0,1
2014,Saint-Etienne, Nice,1,0
2014,Monaco, Nantes,1,0
2014,Montpellier, Marseille,0,2
2014,Reims, Saint-Etienne,0,4
2014,Rennes, Monaco,0,2
2014,Nantes, Guingamp,0,1
2014,Nice, Lorient,0,3
2014,Lille, Valenciennes,1,0
2014,Sochaux, Toulouse,1,5
2014,Ajaccio, Bordeaux,0,4
2014,Evian TG, Bastia,0,2
2014,Lyon, Paris SG,0,4
2014,Valenciennes, Nantes,1,2
2014,Marseille, Lille,0,1
2014,Monaco, Nice,3,0
2014,Lorient, Montpellier,2,0
2014,Bordeaux, Guingamp,1,0
2014,Bastia, Ajaccio,1,1
2014,Saint-Etienne, Rennes,1,3
2014,Reims, Sochaux,2,0
2014,Paris SG, Evian TG,0,2
2014,Toulouse, Lyon,1,1
2014,Nantes, Marseille,1,0
2014,Sochaux, Paris SG,0,5
2014,Rennes, Lorient,0,2
2014,Guingamp, Valenciennes,1,1
2014,Nice, Reims,0,1
2014,Lille, Bordeaux,0,1
2014,Montpellier, Toulouse,1,1
2014,Lyon, Bastia,3,1
2014,Ajaccio, Monaco,0,1
2014,Saint-Etienne, Montpellier,1,0
2014,Paris SG, Rennes,3,1
2014,Monaco, Guingamp,2,0
2014,Lorient, Ajaccio,2,1
2014,Reims, Evian TG,1,1
2014,Toulouse, Nantes,2,1
2014,Sochaux, Nice,0,1
2014,Valenciennes, Bordeaux,1,2
2014,Bastia, Lille,1,2
2014,Marseille, Lyon,2,2
2014,Valenciennes, Monaco,2,1
2014,Nantes, Saint-Etienne,0,2
2014,Guingamp, Toulouse,0,0
2014,Rennes, Sochaux,1,2
2014,Ajaccio, Reims,1,4
2014,Evian TG, Nice,1,3
2014,Montpellier, Bastia,0,0
2014,Bordeaux, Marseille,2,2
2014,Lyon, Lorient,2,2
2014,Lille, Paris SG,2,2
2014,Evian TG, Saint-Etienne,0,1
2014,Monaco, Montpellier,1,1
2014,Paris SG, Ajaccio,2,1
2014,Bastia, Valenciennes,2,3
2014,Toulouse, Bordeaux,1,0
2014,Saint-Etienne, Guingamp,0,0
2014,Sochaux, Lyon,0,2
2014,Nice, Rennes,0,0
2014,Lorient, Nantes,0,1
2014,Marseille, Evian TG,2,1
2014,Reims, Lille,2,1
2014,Lille, Saint-Etienne,0,2
2014,Evian TG, Rennes,0,0
2014,Ajaccio, Nice,0,2
2014,Guingamp, Lorient,0,2
2014,Bordeaux, Bastia,0,1
2014,Montpellier, Sochaux,2,0
2014,Lyon, Reims,2,0
2014,Monaco, Toulouse,2,0
2014,Nantes, Paris SG,0,5
2014,Rennes, Lille,1,1
2014,Paris SG, Guingamp,1,1
2014,Reims, Nantes,0,0
2014,Sochaux, Ajaccio,1,1
2014,Nice, Montpellier,1,3
2014,Lorient, Valenciennes,1,1
2014,Evian TG, Lyon,0,3
2014,Saint-Etienne, Bordeaux,0,2
2014,Marseille, Monaco,0,2
2014,Valenciennes, Marseille,1,2
2014,Bordeaux, Paris SG,0,2
2014,Monaco, Lorient,2,2
2014,Guingamp, Bastia,2,3
2014,Ajaccio, Evian TG,1,1
2014,Montpellier, Reims,4,2
2014,Valenciennes, Saint-Etienne,0,3
2014,Nantes, Sochaux,0,1
2014,Lille, Nice,0,1
2014,Lyon, Rennes,0,2
2014,Toulouse, Marseille,2,2
2014,Saint-Etienne, Toulouse,0,0
2014,Bastia, Marseille,0,3
2014,Rennes, Ajaccio,1,3
2014,Evian TG, Montpellier,1,1
2014,Sochaux, Lille,0,2
2014,Reims, Guingamp,2,1
2014,Nice, Valenciennes,1,2
2014,Lyon, Nantes,2,1
2014,Paris SG, Monaco,1,1
2014,Bastia, Toulouse,3,1
2014,Valenciennes, Paris SG,0,3
2014,Monaco, Bastia,2,0
2014,Nantes, Nice,0,0
2014,Bordeaux, Reims,0,1
2014,Toulouse, Lorient,3,1
2014,Montpellier, Rennes,2,2
2014,Guingamp, Sochaux,0,1
2014,Ajaccio, Lyon,1,3
2014,Lille, Evian TG,2,2
2014,Marseille, Saint-Etienne,1,1
2014,Reims, Monaco,2,3
2014,Lorient, Marseille,0,1
2014,Evian TG, Bordeaux,1,2
2014,Saint-Etienne, Bastia,2,0
2014,Nice, Guingamp,0,1
2014,Sochaux, Valenciennes,2,2
2014,Ajaccio, Montpellier,0,2
2014,Paris SG, Toulouse,4,2
2014,Rennes, Nantes,3,0
2014,Lyon, Lille,0,0
2014,Lorient, Bordeaux,2,3
2014,Nantes, Evian TG,0,2
2014,Monaco, Saint-Etienne,0,2
2014,Bordeaux, Sochaux,0,2
2014,Guingamp, Rennes,2,0
2014,Valenciennes, Reims,1,3
2014,Toulouse, Nice,2,0
2014,Bastia, Lorient,1,1
2014,Lille, Ajaccio,3,2
2014,Montpellier, Lyon,0,0
2014,Marseille, Paris SG,0,2
2014,Nice, Marseille,1,0
2014,Paris SG, Bastia,3,0
2014,Sochaux, Monaco,1,2
2014,Rennes, Valenciennes,1,2
2014,Evian TG, Guingamp,1,0
2014,Ajaccio, Nantes,2,2
2014,Reims, Toulouse,2,3
2014,Montpellier, Lille,0,2
2014,Saint-Etienne, Lorient,0,1
2014,Lyon, Bordeaux,2,1
2014,Marseille, Reims,1,1
2014,Nantes, Lille,0,0
2014,Bastia, Nice,0,2
2014,Guingamp, Ajaccio,2,1
2014,Lorient, Sochaux,0,2
2014,Valenciennes, Evian TG,1,0
2014,Toulouse, Rennes,3,2
2014,Bordeaux, Montpellier,1,1
2014,Monaco, Lyon,3,2
